,AP,ATE,ASE,AOE,CDS
ARTICULATED_BUS,0.11,0.913,0.201,0.159,0.084
BICYCLE,0.271,0.39,0.261,0.757,0.208
BICYCLIST,0.222,0.222,0.256,0.76,0.177
BOLLARD,0.331,0.204,0.476,0.817,0.238
BOX_TRUCK,0.248,0.558,0.22,0.115,0.204
BUS,0.293,0.517,0.181,0.212,0.243
CONSTRUCTION_BARREL,0.439,0.151,0.26,0.88,0.348
CONSTRUCTION_CONE,0.231,0.22,0.47,0.864,0.165
DOG,0.079,0.516,0.466,1.402,0.048
LARGE_VEHICLE,0.035,0.61,0.298,0.419,0.026
MESSAGE_BOARD_TRAILER,0.0,2.0,1.0,3.142,0.0
MOBILE_PEDESTRIAN_CROSSING_SIGN,0.163,0.099,0.47,1.172,0.114
MOTORCYCLE,0.304,0.297,0.254,0.872,0.235
MOTORCYCLIST,0.25,0.263,0.233,0.564,0.205
PEDESTRIAN,0.451,0.259,0.237,1.083,0.344
REGULAR_VEHICLE,0.551,0.317,0.156,0.202,0.482
SCHOOL_BUS,0.059,0.447,0.155,0.06,0.051
SIGN,0.099,0.37,0.448,0.737,0.07
STOP_SIGN,0.318,0.221,0.422,0.246,0.253
STROLLER,0.066,0.298,0.385,0.515,0.051
TRUCK,0.095,0.526,0.188,0.144,0.08
TRUCK_CAB,0.125,0.791,0.315,0.193,0.093
VEHICULAR_TRAILER,0.115,0.795,0.296,0.511,0.082
WHEELCHAIR,0.0,2.0,1.0,3.142,0.0
WHEELED_DEVICE,0.081,0.486,0.214,1.066,0.059
WHEELED_RIDER,0.032,0.309,0.337,0.953,0.024
AVERAGE_METRICS,0.191,0.53,0.354,0.807,0.149
