,AP,ATE,ASE,AOE,CDS
ARTICULATED_BUS,0.195,0.869,0.204,0.164,0.15
BICYCLE,0.354,0.39,0.26,0.756,0.272
BICYCLIST,0.407,0.22,0.253,0.751,0.325
BOLLARD,0.469,0.194,0.475,0.802,0.34
BOX_TRUCK,0.452,0.545,0.216,0.108,0.373
BUS,0.516,0.497,0.179,0.114,0.436
CONSTRUCTION_BARREL,0.7,0.149,0.256,0.888,0.557
CONSTRUCTION_CONE,0.304,0.214,0.468,0.867,0.218
DOG,0.101,0.516,0.466,1.401,0.062
LARGE_VEHICLE,0.065,0.591,0.295,0.385,0.05
MESSAGE_BOARD_TRAILER,0.0,2.0,1.0,3.142,0.0
MOBILE_PEDESTRIAN_CROSSING_SIGN,0.327,0.098,0.467,1.181,0.23
MOTORCYCLE,0.389,0.297,0.253,0.874,0.301
MOTORCYCLIST,0.354,0.256,0.229,0.544,0.291
PEDESTRIAN,0.643,0.255,0.235,1.077,0.492
REGULAR_VEHICLE,0.891,0.303,0.153,0.179,0.784
SCHOOL_BUS,0.113,0.447,0.155,0.06,0.098
SIGN,0.148,0.369,0.449,0.719,0.105
STOP_SIGN,0.5,0.215,0.421,0.238,0.399
STROLLER,0.085,0.296,0.385,0.515,0.065
TRUCK,0.157,0.527,0.188,0.132,0.131
TRUCK_CAB,0.192,0.789,0.315,0.192,0.143
VEHICULAR_TRAILER,0.174,0.792,0.294,0.512,0.125
WHEELCHAIR,0.0,2.0,1.0,3.142,0.0
WHEELED_DEVICE,0.106,0.48,0.212,1.059,0.078
WHEELED_RIDER,0.044,0.309,0.339,0.94,0.032
AVERAGE_METRICS,0.296,0.524,0.353,0.798,0.233
